from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5931308;428;29932;122;77;28443;138;120;34296;160;129;41414;54;34672;47;34672;31
5785641;5931308;390;27315;118;75;25838;145;123;34501;167;131;33237;54;34883;47;34883;31
5785642;5931308;391;27395;118;75;25838;149;125;34619;167;133;33355;54;34284;47;32508;31
5785643;5931308;396;27688;115;73;27351;162;129;34912;167;137;33648;54;36376;47;36378;31
5787544;5931308;421;29442;119;75;27903;136;113;33806;148;122;40924;53;34246;47;34246;30
5787545;5931308;422;29511;119;75;27903;136;114;33875;148;123;40994;53;34532;47;34532;30
5787546;5931308;425;29737;119;75;27903;138;117;34101;160;126;41219;54;33310;46;31534;30
5787547;5931308;389;27201;118;75;25838;154;130;35000;165;138;33736;54;33701;46;31925;30
5787548;5931308;385;26976;118;75;25838;151;126;34728;163;134;33464;54;33823;47;32046;30
5787549;5931308;387;27110;118;75;25838;154;130;35020;164;138;33756;54;34066;47;32289;31
5787550;5931308;395;27680;115;73;27351;165;126;39790;165;122;41778;54;36175;47;36177;31
5789447;5931308;381;26675;107;68;25141;97;74;31039;113;84;38158;49;32056;43;32056;27
5789448;5931308;381;26672;107;68;25138;97;74;31060;113;84;38178;49;32421;43;32421;27
5789449;5931308;382;26733;108;68;25274;97;75;31120;113;85;38239;50;32847;44;32847;28
5789450;5931308;424;29679;108;68;25274;138;116;34042;160;125;41161;50;33165;44;33165;28
5789451;5931308;425;29717;119;75;27903;138;117;34081;160;126;41199;53;34493;47;34493;30
5789452;5931308;381;26637;119;75;27903;151;124;31594;155;133;35628;53;33209;46;31433;30
5789453;5931308;381;26674;118;75;25838;151;125;31631;155;134;35665;54;33386;46;31610;30
5789454;5931308;382;26761;118;75;25838;151;126;31718;158;135;35752;54;33650;46;31874;30
5789455;5931308;385;26937;115;73;27384;156;129;31894;163;137;30630;54;33871;47;32095;31
5789456;5931308;393;27519;115;73;27384;159;124;39630;165;120;41617;57;36085;50;36087;34
5791353;5931308;386;27035;112;71;26191;99;79;31399;119;89;38517;48;31647;42;31647;27
5791354;5931308;383;26803;107;68;24984;97;75;31167;119;85;38285;50;32238;44;32238;28
5791355;5931308;376;26326;107;67;24896;91;71;30828;113;81;37946;49;32418;43;32418;27
5791356;5931308;377;26388;106;67;24845;97;75;31176;119;85;38294;50;33044;44;33044;28
5791357;5931308;378;26475;108;68;25274;99;78;31244;119;88;38363;50;33157;44;33157;28
5791358;5931308;379;26526;108;68;25274;147;123;31483;153;132;35517;50;32704;44;30927;28
5791359;5931308;376;26328;108;68;25274;143;120;31286;144;129;35319;53;33027;46;31251;30
5791360;5931308;377;26383;118;75;25838;145;121;31340;147;130;35374;53;33395;46;31619;30
5791361;5931308;382;26736;115;73;27384;151;126;31693;155;135;35727;53;33749;46;31973;30
5791362;5931308;386;27047;115;73;27384;156;130;32004;164;138;30740;54;34058;47;32281;31
5791363;5931308;393;27514;115;73;27384;159;124;39625;165;120;41612;57;35981;50;35983;34
5793258;5931308;392;27421;110;69;25941;108;84;31785;125;94;38903;50;32911;44;32911;28
5793259;5931308;387;27121;109;69;25885;102;80;31485;119;90;38603;50;32751;44;32751;28
5793260;5931308;388;27155;108;69;25471;102;80;31519;119;90;38638;50;32715;44;32715;28
5793261;5931308;374;26199;106;67;24631;97;74;30964;113;84;38082;50;32496;44;32496;28
5793262;5931308;373;26094;106;67;24674;97;74;30962;113;84;38080;50;32920;44;32920;28
5793263;5931308;373;26142;106;67;24674;105;79;30545;119;89;37663;50;34026;44;34026;28
5793264;5931308;372;26073;105;66;24385;143;116;31030;140;125;35064;53;32648;45;30872;30
5793265;5931308;373;26114;105;66;24323;143;117;31071;143;126;35104;53;32981;45;31204;30
