from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5975376;462;32314;134;85;32521;132;115;32966;154;123;32966;63;32542;56;32573;33
5785641;5975376;424;29697;133;84;29917;139;118;33172;160;121;33172;65;32753;58;32784;33
5785642;5975376;425;29777;133;84;29917;143;120;33289;160;123;33289;65;32154;58;30409;33
5785643;5975376;430;30070;142;90;31977;154;124;33582;160;127;33582;65;34711;58;32966;33
5787544;5975376;455;31824;131;83;31982;130;108;32476;142;116;32476;62;32116;55;32148;32
5787545;5975376;456;31893;131;83;31982;130;109;32545;142;117;32545;62;32402;55;32434;32
5787546;5975376;459;32119;131;83;31982;132;112;32771;154;120;32771;65;31180;58;29435;33
5787547;5975376;423;29583;133;84;29917;148;125;33670;159;128;33670;65;31571;58;29827;33
5787548;5975376;419;29358;133;84;29917;144;121;33398;156;124;33398;65;31693;58;29948;33
5787549;5975376;421;29492;133;84;29917;148;126;33690;158;129;33690;65;31936;58;30191;33
5787550;5975376;458;32075;142;90;31977;157;114;43985;167;124;43608;65;34510;58;32765;33
5789447;5975376;415;29057;122;77;29220;92;69;29709;106;77;29709;58;29926;52;29958;30
5789448;5975376;415;29054;122;77;29216;92;69;29730;106;77;29730;58;30291;52;30323;30
5789449;5975376;416;29115;122;77;29353;92;70;29790;106;78;29790;59;30717;53;30749;30
5789450;5975376;458;32061;122;77;29353;132;112;32713;154;120;32713;59;31036;53;31067;30
5789451;5975376;459;32099;131;83;31982;132;112;32751;154;120;32751;62;32363;55;32395;32
5789452;5975376;415;29019;131;83;31982;144;120;30265;149;123;30265;64;31080;57;29335;33
5789453;5975376;415;29056;133;84;29917;144;120;30301;149;123;30301;65;31256;58;29512;33
5789454;5975376;416;29143;133;84;29917;144;121;30388;151;128;34422;65;31520;58;29775;33
5789455;5975376;419;29319;142;90;32010;149;124;30564;156;127;30564;65;31741;58;29996;33
5789456;5975376;456;31914;142;90;32010;149;111;43824;167;122;43448;70;34420;62;32675;39
5791353;5975376;420;29417;120;76;29525;94;74;30069;112;82;30069;57;29517;51;29548;29
5791354;5975376;417;29185;121;77;29062;92;71;29837;112;79;29837;59;30108;53;30139;30
5791355;5975376;410;28708;121;77;28975;86;66;29498;106;74;29498;59;30288;52;30320;30
5791356;5975376;411;28770;121;77;28923;92;71;29846;112;79;29846;59;30914;53;30945;30
5791357;5975376;412;28857;122;77;29353;94;73;29914;112;81;29914;59;31028;53;31059;30
5791358;5975376;413;28908;122;77;29353;140;118;30154;146;121;30154;59;30574;53;28829;30
5791359;5975376;410;28711;122;77;29353;134;115;29956;138;122;33990;64;30897;57;29152;33
5791360;5975376;411;28765;133;84;29917;137;116;30010;141;119;30010;64;31265;57;29521;33
5791361;5975376;416;29118;142;90;32010;144;121;30364;149;124;30364;64;31620;57;29875;33
5791362;5975376;420;29429;142;90;32010;149;125;30675;158;128;30675;65;31928;58;30183;33
5791363;5975376;456;31909;142;90;32010;149;111;43819;167;122;43443;70;34316;62;32571;39
5793258;5975376;426;29803;124;78;30020;104;79;30455;118;87;30455;60;30781;53;30812;31
5793259;5975376;421;29503;124;78;29963;98;75;30155;112;83;30155;59;30621;53;30653;30
5793260;5975376;422;29537;123;78;29550;98;76;30189;112;84;30189;59;30585;53;30616;30
5793261;5975376;408;28581;120;76;28710;92;69;29634;106;77;29634;59;30366;53;30397;30
5793262;5975376;407;28476;120;76;28752;92;69;29632;106;77;29632;59;30791;53;30822;30
5793263;5975376;407;28524;120;76;28752;99;74;29215;112;82;29215;60;31897;53;31928;30
5793264;5975376;407;28455;119;76;28464;134;112;29700;134;118;33734;64;30518;57;28773;32
5793265;5975376;407;28496;119;75;28402;134;112;29741;136;119;33774;64;30851;57;29106;32
5793266;5975376;407;28505;125;79;28447;134;112;29750;136;119;33784;64;31048;57;29303;33
5793267;5975376;418;29279;125;79;28447;148;123;30524;154;126;30524;64;31843;57;30098;33
5793268;5975376;424;29677;142;90;32010;158;137;30922;160;132;30922;65;32069;58;30324;33
5793269;5975376;454;31774;139;88;31529;165;121;44500;167;132;44124;70;30881;62;29137;39
5793270;5975376;451;31594;139;88;31529;159;118;44320;167;129;43943;70;33770;62;32025;39
5795164;5975376;427;29878;124;78;29963;105;80;30530;118;88;30530;59;30905;53;30936;31
5795165;5975376;428;29959;124;78;29963;106;82;30612;118;90;30612;59;32681;53;32713;31
5795166;5975376;427;29889;120;76;28439;105;81;30542;118;89;30542;63;32531;56;32562;32
5795167;5975376;404;28255;120;76;28676;92;70;28933;112;78;28933;60;30916;53;30948;31
5795168;5975376;404;28256;119;76;28464;92;70;28933;112;78;28933;61;31478;54;31510;32
5795169;5975376;405;28337;119;76;28464;92;72;29028;112;80;29028;61;31700;54;31732;32
5795170;5975376;403;28185;119;75;28402;134;108;29431;132;115;33464;61;30257;54;28512;31
5795171;5975376;401;28104;119;75;28304;134;107;29349;132;113;33383;64;30558;57;28813;32
5795172;5975376;406;28439;125;79;28447;134;111;29684;134;118;33718;64;31000;57;29256;33
5795173;5975376;410;28667;125;79;28447;134;115;29912;136;121;33946;64;31091;57;29346;33
5795174;5975376;407;28477;125;79;28447;134;112;29722;134;119;33756;64;30725;57;28980;33
5795175;5975376;406;28414;125;79;28447;134;111;29660;134;118;33693;64;30862;57;29117;33
5795176;5975376;452;31630;122;77;28257;159;119;44356;167;129;43980;65;30386;58;28641;34
5797069;5975376;412;28836;117;74;28834;123;85;27981;128;113;29409;-1;-1;-1;-1;-1
5797070;5975376;430;30076;117;74;28834;106;83;30728;118;91;30728;60;31184;54;31215;32
5797071;5975376;431;30193;120;76;28439;106;85;30845;118;93;30845;63;32584;56;32615;33
5797072;5975376;405;28347;120;76;28439;92;71;29024;112;79;29024;62;32300;55;32332;32
5797073;5975376;401;28062;120;76;28439;92;67;28739;106;75;28739;60;32385;54;32416;31
5797074;5975376;399;27944;119;75;28194;86;66;28635;106;74;28635;60;31249;54;31281;31
5797075;5975376;402;28152;119;75;28402;92;69;28843;106;77;28843;61;31582;54;31613;31
5797076;5975376;398;27868;119;75;28304;129;103;29114;130;110;33148;62;30204;55;28459;32
5797077;5975376;400;27995;119;75;28304;129;105;29240;131;112;33274;64;30636;57;28891;32
