from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5961860;430;30070;133;84;30408;145;129;36422;168;137;33264;54;34133;49;34133;31
5785641;5961860;406;28389;132;84;28947;153;132;36628;175;137;41288;56;34344;51;34344;31
5785642;5961860;407;28468;132;84;28947;156;134;36746;175;139;41406;56;33745;51;31968;31
5785643;5961860;411;28761;141;89;31007;164;138;37039;175;143;41699;56;36302;51;34525;31
5787544;5961860;423;29581;130;82;29868;142;122;35933;157;130;32774;53;33707;48;33707;31
5787545;5961860;424;29650;130;82;29868;142;123;36002;157;131;32844;53;33993;48;33993;31
5787546;5961860;427;29876;130;82;29868;145;126;36228;168;135;33069;56;32771;50;30995;31
5787547;5961860;404;28275;132;84;28947;161;139;37127;173;144;41787;56;33162;50;31386;31
5787548;5961860;401;28050;132;84;28947;158;135;36855;170;140;41514;56;33284;50;31507;31
5787549;5961860;403;28184;132;84;28947;161;140;37147;172;144;41807;56;33527;51;31750;31
5787550;5961860;440;30766;141;89;31007;175;132;52171;180;137;50073;56;36100;51;34324;31
5789447;5961860;390;27306;121;76;27770;106;83;33166;122;93;37826;49;31517;44;31517;28
5789448;5961860;394;27587;121;76;27773;106;83;33186;122;93;37846;49;31882;44;31882;28
5789449;5961860;397;27806;121;77;28383;106;84;33247;122;94;37907;50;32308;45;32308;28
5789450;5961860;426;29817;121;77;28383;145;126;36169;168;134;33011;50;32626;45;32626;28
5789451;5961860;427;29855;130;82;29868;145;126;36208;168;134;33049;53;33954;48;33954;31
5789452;5961860;396;27711;130;82;29868;158;134;33721;163;140;37755;55;32670;50;30894;31
5789453;5961860;396;27747;132;84;28947;158;134;33758;163;141;37791;56;32847;50;31071;31
5789454;5961860;398;27834;132;84;28947;158;135;33845;165;142;37878;56;33111;50;31335;31
5789455;5961860;400;28011;141;89;31040;163;138;34021;170;143;38681;56;33332;51;31555;32
5789456;5961860;437;30606;141;89;31040;168;130;52010;180;135;49912;62;36011;57;34234;37
5791353;5961860;398;27852;119;75;27331;108;88;33526;127;98;38186;48;31108;44;31108;27
5791354;5961860;395;27620;120;76;28093;106;84;33294;127;94;37954;50;31699;45;31699;28
5791355;5961860;391;27400;120;76;28005;99;80;32955;122;89;37615;50;31879;45;31879;28
5791356;5961860;392;27461;120;76;27953;106;85;33303;127;94;37962;51;32504;45;32504;28
5791357;5961860;394;27549;121;77;28383;108;87;33371;127;97;38031;50;32618;45;32618;28
5791358;5961860;394;27600;121;77;28383;155;132;33610;160;139;37644;50;32165;45;30388;28
5791359;5961860;391;27402;121;77;28383;149;129;33412;152;136;37446;55;32488;50;30712;31
5791360;5961860;392;27456;132;84;28947;152;130;33467;155;137;37500;55;32856;50;31080;31
5791361;5961860;397;27810;141;89;31040;158;135;33820;163;142;37854;55;33210;50;31434;31
5791362;5961860;402;28121;141;89;31040;163;139;34131;172;144;38791;56;33519;50;31742;31
5791363;5961860;437;30600;141;89;31040;168;130;52005;180;135;49907;62;35906;57;34130;37
5793258;5961860;403;28238;123;78;28576;116;93;33912;133;103;38572;51;32372;46;32372;29
5793259;5961860;399;27938;123;78;28520;111;89;33612;127;99;38271;50;32212;45;32212;28
5793260;5961860;400;27972;122;77;28106;111;90;33646;127;99;38306;50;32176;45;32176;28
